Added_Genes_v2
ENSG00000004455.17
ENSG00000006744.19
ENSG00000008988.11
ENSG00000011275.19
ENSG00000011451.21
ENSG00000015676.18
ENSG00000022840.16
ENSG00000028310.18
ENSG00000031823.14
ENSG00000037241.7
ENSG00000037637.11
ENSG00000040531.16
ENSG00000054116.12
ENSG00000054611.14
ENSG00000055070.17
ENSG00000055950.16
ENSG00000057757.10
ENSG00000060303.5
ENSG00000061273.18
ENSG00000063177.13
ENSG00000065000.19
ENSG00000066136.20
ENSG00000067182.8
ENSG00000067365.15
ENSG00000068308.14
ENSG00000068354.16
ENSG00000071082.11
ENSG00000071242.12
ENSG00000072133.11
ENSG00000072849.11
ENSG00000072958.9
ENSG00000074582.15
ENSG00000075413.19
ENSG00000075415.13
ENSG00000076201.15
ENSG00000076984.18
ENSG00000078902.16
ENSG00000082068.9
ENSG00000083845.9
ENSG00000084623.12
ENSG00000086589.12
ENSG00000087302.9
ENSG00000088256.9
ENSG00000089009.15
ENSG00000089053.13
ENSG00000089157.16
ENSG00000090372.15
ENSG00000091164.13
ENSG00000091542.9
ENSG00000091732.17
ENSG00000094914.14
ENSG00000096395.11
ENSG00000099381.18
ENSG00000099917.17
ENSG00000100014.20
ENSG00000100316.16
ENSG00000100325.15
ENSG00000100603.14
ENSG00000100784.12
ENSG00000100865.15
ENSG00000100949.14
ENSG00000100982.12
ENSG00000100991.12
ENSG00000101278.6
ENSG00000101365.21
ENSG00000102312.23
ENSG00000103148.17
ENSG00000103429.11
ENSG00000103707.10
ENSG00000103932.12
ENSG00000104964.15
ENSG00000104969.11
ENSG00000105058.12
ENSG00000105193.9
ENSG00000105372.8
ENSG00000105397.14
ENSG00000105401.9
ENSG00000105556.11
ENSG00000105640.13
ENSG00000105656.13
ENSG00000105700.11
ENSG00000106459.15
ENSG00000106608.17
ENSG00000106635.8
ENSG00000107816.17
ENSG00000108107.15
ENSG00000108298.12
ENSG00000108443.14
ENSG00000108523.16
ENSG00000108591.10
ENSG00000108651.10
ENSG00000108953.17
ENSG00000109475.16
ENSG00000110442.12
ENSG00000110700.7
ENSG00000111361.13
ENSG00000111652.10
ENSG00000111701.7
ENSG00000112306.8
ENSG00000113068.10
ENSG00000113621.15
ENSG00000114021.12
ENSG00000114026.21
ENSG00000114316.13
ENSG00000114391.13
ENSG00000114650.20
ENSG00000114745.13
ENSG00000115073.8
ENSG00000115211.16
ENSG00000115234.11
ENSG00000115268.10
ENSG00000115317.12
ENSG00000115694.15
ENSG00000116251.11
ENSG00000116353.16
ENSG00000116685.16
ENSG00000116786.13
ENSG00000117676.14
ENSG00000118181.11
ENSG00000118960.13
ENSG00000119487.17
ENSG00000120029.13
ENSG00000120948.18
ENSG00000121775.18
ENSG00000122026.10
ENSG00000122406.14
ENSG00000122965.11
ENSG00000124614.16
ENSG00000125691.14
ENSG00000125734.15
ENSG00000125831.10
ENSG00000125843.11
ENSG00000125952.20
ENSG00000126088.14
ENSG00000126698.11
ENSG00000126883.17
ENSG00000126903.16
ENSG00000127452.9
ENSG00000129187.14
ENSG00000129824.16
ENSG00000130255.13
ENSG00000130382.9
ENSG00000130560.9
ENSG00000130640.13
ENSG00000130717.13
ENSG00000130764.10
ENSG00000131043.12
ENSG00000131408.15
ENSG00000131469.15
ENSG00000132275.11
ENSG00000132323.9
ENSG00000132394.11
ENSG00000133243.10
ENSG00000134262.13
ENSG00000134419.15
ENSG00000134438.10
ENSG00000134686.18
ENSG00000135482.7
ENSG00000135930.14
ENSG00000136149.6
ENSG00000136213.10
ENSG00000136279.21
ENSG00000136643.12
ENSG00000136696.11
ENSG00000136709.12
ENSG00000136807.14
ENSG00000136819.15
ENSG00000136942.15
ENSG00000137100.16
ENSG00000137106.18
ENSG00000137154.13
ENSG00000137818.12
ENSG00000137970.7
ENSG00000138107.13
ENSG00000138326.21
