"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa00071","Fatty acid degradation",17,-0.549508830404713,-1.94764728081819,0.00267082949857275,0.0231844648666833,0.0175352287880567,165,"tags=29%, list=3%, signal=29%","127/124/126/33/125"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",27,-0.467023888913994,-1.93035327354869,0.00274778842864394,0.0231844648666833,0.0175352287880567,2145,"tags=70%, list=36%, signal=45%","5337/3082/10000/1950/5587/2946/5295/847/1346/1543/5602/2353/4233/8644/2938/1956/2949/1645/1646"
"hsa04910","Insulin signaling pathway",32,-0.441367753172819,-1.91876846425908,0.00288313171788733,0.0235892595099872,0.0178413892590157,1716,"tags=53%, list=29%, signal=38%","8471/8660/2998/5260/8835/5295/2308/5602/5577/10891/5837/5140/10580/32/6517/3991/5105"
"hsa05031","Amphetamine addiction",25,-0.475407727726173,-1.90960089385729,0.0031348788948418,0.0248946265178614,0.0188286843838795,1722,"tags=60%, list=29%, signal=43%","2903/5578/23237/2892/1812/84152/9586/2353/4129/111/2890/2354/4128/2893/2904"
"hsa04217","Necroptosis",38,0.292649101878444,1.742361006408,0.0035573887611217,0.0274427133000817,0.0207558923205296,886,"tags=39%, list=15%, signal=34%","8329/3012/8338/3014/8969/8336/8332/8331/8337/255189/723790/29108/283748/3015/8334"
"hsa04519","Cadherin signaling",154,-0.276544208186699,-1.66452866380487,0.00394031642727212,0.0295523732045409,0.0223515025406664,2461,"tags=56%, list=41%, signal=34%","3857/259236/120114/7480/56124/83439/1002/26025/10413/56101/56125/8324/338785/7003/8777/6934/2567/56121/56132/56103/1008/2562/121391/56105/56110/2195/56100/1003/5098/26167/56131/51421/64405/56130/56102/56111/56107/283446/54798/8641/3854/3866/5156/1012/57526/2565/29119/154810/23500/10186/56113/64072/54510/3872/84152/5602/8322/56112/22808/79633/2557/7481/56099/1830/4233/1825/27328/6331/117532/2555/55800/1823/5317/6330/28316/1956/1674/2568/28513/5101/6327/2564/1010/3852/1828/2196/3861"
"hsa00010","Glycolysis / Gluconeogenesis",20,-0.511301126128231,-1.92382099450402,0.00435273552670309,0.0317632051948604,0.0240236327789587,1058,"tags=40%, list=18%, signal=33%","217/230/218/127/124/126/5105/125"
"hsa04924","Renin secretion",32,-0.425989673403357,-1.85191497464551,0.00541785312002548,0.0384952721686021,0.0291153325563696,1063,"tags=41%, list=18%, signal=34%","185/358/2770/153/9635/111/154/5137/117/5140/4881/22802/1908"
"hsa05219","Bladder cancer",14,0.480724478022069,1.96039413154691,0.005781489836193,0.0390347094225618,0.0295233279843158,817,"tags=50%, list=14%, signal=43%","4312/4318/1870/1869/1029/1890/2261"
"hsa05030","Cocaine addiction",20,-0.502814558912844,-1.89188944703441,0.0057829199144536,0.0390347094225618,0.0295233279843158,1086,"tags=50%, list=18%, signal=41%","1812/84152/9586/2770/4129/1813/111/2354/4128/2904"
"hsa05204","Chemical carcinogenesis - DNA adducts",18,-0.505315810237909,-1.81973870769985,0.00648383098064951,0.0426983991408626,0.0322943057829526,1763,"tags=67%, list=30%, signal=47%","7364/2946/1548/1576/54490/1543/10720/3290/5743/2938/2949/1646"
"hsa04932","Non-alcoholic fatty liver disease",24,-0.44853351987507,-1.77609031070925,0.00701211138594373,0.0450778589096383,0.0340939751597264,1765,"tags=54%, list=30%, signal=38%","5465/8660/1050/5295/1346/5602/2353/3569/5468/3953/51085/9370/3952"
"hsa04913","Ovarian steroidogenesis",20,-0.493611005300876,-1.85726016742217,0.0073645388490673,0.0462424532383295,0.034974798940491,1423,"tags=60%, list=24%, signal=46%","114/196883/1583/3294/1543/654/5321/8644/5743/111/3479/3973"
