Gene,p_value,log2FC,adj_p_value
AP006222.1,1.6674492551641e-06,-1.1078324864238347,5.710550057879115e-06
FAM87B,1.5359425370987257e-14,-1.46648511593505,1.6625403729659085e-13
AL645608.6,1.0941597274900591e-06,1.308963122897416,3.8516781781725535e-06
AL645608.2,4.268532653092727e-06,1.4424237026292621,1.3829461565717188e-05
LINC02593,3.612509262010343e-05,1.4462889894712605,0.00010090727619247712
SAMD11,5.610781146904166e-09,1.9807480445602517,2.7328025354661572e-08
PLEKHN1,1.4794331816168027e-09,1.538491140347988,7.839940159585112e-09
HES4,7.43895699215569e-12,1.312957770279385,5.522208097234509e-11
ISG15,1.5346011508687672e-21,2.8759179028179,5.914141347537205e-20
AL390719.1,6.936580325775779e-12,1.9402796703590042,5.1797327140858014e-11
AL645608.8,3.011845785053658e-07,1.2567912043858351,1.151414628677927e-06
RNF223,3.376750118236211e-13,2.3825141366683456,3.0000242547050966e-12
AL390719.2,1.6853386751671425e-07,1.6179980818971647,6.697850680302241e-07
TTLL10-AS1,9.474464256141702e-18,-2.1371609655562134,1.741076464032561e-16
TTLL10,2.737555069512633e-14,-1.639099533617634,2.85940873421736e-13
TNFRSF18,8.785941297073822e-22,2.8273406124423444,3.581902483157954e-20
TNFRSF4,7.597246474082468e-13,1.1421973405478072,6.389920341092591e-12
PUSL1,1.6336467438620882e-21,1.3062125438446586,6.249771391619466e-20
TAS1R3,6.425974330967072e-09,1.4327158722047892,3.103511244721333e-08
ANKRD65,6.727409105030676e-15,-1.6159068324213148,7.681455907263547e-14
FNDC10,3.540140295082348e-19,1.9285990061517069,8.409469987823832e-18
AL691432.4,2.8665564606256886e-11,1.6563717465953105,1.9602329304074962e-10
AL391845.2,2.0226433092192872e-21,2.479518590243206,7.562250019088971e-20
GABRD,9.214345697303687e-26,3.2974293273175217,3.2302547058510225e-23
PRKCZ,4.054247344003222e-07,1.17366345067426,1.5191689764865164e-06
PLCH2,3.2226304341075623e-09,-1.2611034221463004,1.6290652337051167e-08
AL139246.5,1.3350257107886867e-15,2.039394373114395,1.703597162075833e-14
PRXL2B,2.1794132159352222e-13,1.001762925496374,1.9885111091382946e-12
TTC34,4.506108919680699e-06,-1.1558443843587556,1.4543192946228105e-05
PRDM16-DT,5.186193458551842e-21,-2.5542603137794786,1.7537668843677898e-19
PRDM16,3.2130635854570723e-21,-2.317241952379125,1.139434178235966e-19
AL590438.1,6.60865437368967e-10,1.1493381319839586,3.67434198104995e-09
AL354743.2,1.6938522634786233e-11,1.3185106449700092,1.1973303588463863e-10
AL354743.1,4.1681582294282865e-07,-1.083204280551762,1.5586969271461979e-06
ARHGEF16,7.000226622525287e-13,1.1746574016723041,5.921281617254276e-12
TP73-AS3,1.3168683272885473e-10,1.2440270319179985,8.141539508280516e-10
CCDC27,3.764331620451005e-09,-1.2343236171900143,1.884604042207024e-08
SMIM1,6.091313722690176e-10,1.2309262214591703,3.4041967822512577e-09
LINC01777,1.9075147981928944e-07,-1.020235777646548,7.519277213442723e-07
AJAP1,9.449761515726802e-12,-1.2960652193268754,6.915947200901195e-11
Z98259.3,6.563851732198709e-10,-1.3131403915490216,3.6499680003713683e-09
LINC00337,1.3186159877727105e-17,2.0147485080680343,2.3646430833761193e-16
ACOT7,1.1560295590080045e-18,1.2897508590375857,2.4905269350323755e-17
HES2,4.0697651876994015e-06,1.4958390800417263,1.3225078225562173e-05
ESPN,3.664214884112492e-11,1.9978852936352265,2.4702583634737556e-10
AL031848.1,2.1589144115319975e-05,1.2294815356563902,6.265649381023975e-05
TAS1R1,3.152506078612705e-10,-1.2254832404359894,1.8388728664928014e-09
KLHL21,6.816335870467895e-22,-1.426532279157982,3.3337385041666395e-20
AL359881.3,1.4558694856665717e-07,-1.180366860600435,5.83611355843943e-07
PER3,2.1183709244747767e-11,-1.1925495575763634,1.4754057596721667e-10
Z98884.1,1.0136348198238835e-07,-1.0599179760832005,4.1615615356108146e-07
UTS2,4.3961223106215676e-08,1.4046330284920845,1.9013216443129069e-07
TNFRSF9,2.129393863117561e-12,2.147445882619315,1.6872105266049056e-11
ERRFI1,1.0984464082015312e-11,-1.1517818711746255,7.962212299373166e-11
CA6,3.269369246712755e-14,-3.379711422832071,3.377634774959053e-13
H6PD,2.7023798546835212e-17,-1.0847201664922395,4.571234239226604e-16
AL928921.1,1.0174170734337137e-10,-1.7113345498840768,6.390324086107541e-10
AL954705.1,4.94666652141234e-13,-1.333414681572565,4.293080839412717e-12
RBP7,3.4061575565948173e-20,-2.4024138527927708,9.7435658080417e-19
AL139424.3,7.762146880605029e-13,-1.129514112680544,6.524268773991009e-12
CENPS,4.139006514224822e-17,1.218607127603481,6.783242437029464e-16
C1orf127,8.504242632097601e-12,1.292254239697285,6.273659630854393e-11
MASP2,2.118672396803514e-17,-2.054465455729237,3.6573654674811437e-16
AL109811.2,8.202611582062278e-12,-1.2507584044244169,6.057042524059791e-11
MTOR-AS1,1.4579260027026343e-13,-1.3113523959716171,1.3660932564660952e-12
ANGPTL7,8.891437605563915e-25,-5.678929377435278,1.5237751487471843e-22
AL031291.1,4.5896225314483705e-20,-2.539334752345361,1.2847550905844464e-18
DISP3,1.2407739864450636e-05,1.41434726471984,3.731385895078636e-05
AL031731.1,1.831283266450485e-12,-2.2316014948368306,1.4651039804297777e-11
C1orf167,0.005106907705564877,1.0451870130347483,0.009794856051074299
CLCN6,2.922358452516865e-20,-1.1608894905413933,8.455416656273777e-19
TNFRSF8,3.1804239079046395e-14,-1.7850602288566826,3.299243360393873e-13
TNFRSF1B,5.052688748358451e-10,-1.1029393485139813,2.8608989932026905e-09
LINC02766,7.097931693991398e-12,-1.6544707933794516,5.2897887638376665e-11
DHRS3,4.758037246653335e-13,-1.1576138683526729,4.137908213082627e-12
RNU6ATAC18P,2.7652795641880646e-17,-1.8738767935043366,4.665131323566091e-16
AC254633.1,6.339452273757659e-23,-2.680142546767454,4.429896963400324e-21
AADACL3,2.984336181412097e-13,-2.0382188409624953,2.673338423245075e-12
LRRC38,1.2259730741675917e-15,-2.3032494547413274,1.575051024797265e-14
AL357873.1,8.735881317445405e-10,-1.3263505022904132,4.766101541586391e-09
AGMAT,8.786044037994315e-14,1.3102724895388729,8.512730414300249e-13
SLC25A34,9.886166719977972e-15,-1.4861936559452742,1.0999667401658216e-13
TMEM82,1.5813841217860926e-06,1.1350567788398607,5.432502696464986e-06
HSPB7,1.0716443229553584e-20,-4.490133012373545,3.396439923649476e-19
CLCNKB,6.019674007613421e-12,-1.4681318076449794,4.530785639196159e-11
EPHA2,7.408059794183804e-18,-1.3230907617352674,1.3862295288780504e-16
AL451042.2,2.5458940078348486e-14,-1.5048056736441686,2.6673081508364334e-13
AL451042.1,1.6124645470875517e-15,-1.697659835441875,2.0343265241969998e-14
ESPNP,8.958046264677249e-06,1.2738531582605923,2.760145169446682e-05
MST1L,3.8445654262977836e-05,-1.0444235911127961,0.0001069475365079708
MFAP2,1.1221465701378244e-18,2.1307013877839083,2.4216626323304822e-17
ACTL8,2.0125966491731755e-14,3.44353696074507,2.138151065660164e-13
KLHDC7A,0.025541167286676145,-1.1137103923758715,0.04228835715040753
PAX7,0.00014507773865167706,1.4267403505430067,0.0003666049021679755
IFFO2,3.0711572066974465e-13,-1.5633402312718658,2.7446202936870947e-12
AKR7L,6.818509219188901e-07,1.2626846960379785,2.4724195133323166e-06
AKR7A3,2.1623023076858707e-07,2.0554276519639965,8.456517397578535e-07
RNF186,1.3056018975378686e-14,-3.049879778039866,1.426669540315904e-13
AL391883.1,5.267100895609268e-15,-1.7676928812533799,6.113581958942856e-14
PLA2G2A,5.206659682255261e-10,-3.157660547914758,2.9432392359065038e-09
PLA2G5,7.596061646819427e-12,-1.6112842817924777,5.63220906052543e-11
KIF17,2.089228200777405e-12,-1.1192212493101215,1.6584028023488108e-11
ALPL,2.3479094583639773e-14,-1.7934034821945541,2.472191349070817e-13
RAP1GAP,2.377861921858647e-05,1.331920962148871,6.854337653434385e-05
LDLRAD2,7.370200314516586e-26,-3.082377767639989,2.76439605965597e-23
HSPG2,2.2678640756866155e-09,-1.4286359160680675,1.1692497141649179e-08
EPHA8,1.2601271724524293e-09,2.0721956711364937,6.73431022004562e-09
LUZP1,5.336707605390884e-16,-1.02650663813316,7.25493409355974e-15
HTR1D,1.8010591753115326e-18,2.696116324027452,3.7459261507824815e-17
E2F2,1.0024960387617529e-19,2.4094656222867386,2.61131602283787e-18
GALE,1.3951449648161936e-20,1.630245061741027,4.3134465630570216e-19
MYOM3,2.366089507830598e-11,-1.4313540610652007,1.6390909664944488e-10
IL22RA1,6.732304585012588e-13,-1.9044009509553232,5.7187097256036575e-12
NCMAP,2.2363002282679122e-10,-2.16729202863233,1.3350825164788604e-09
SDHDP6,1.5364119787643385e-06,-1.1374902545046823,5.287122231848133e-06
AUNIP,1.4543926835475632e-19,1.8353011896704698,3.689462056040215e-18
STMN1,1.3194254704981721e-18,1.5580620689049045,2.804260396725464e-17
TRIM63,1.2580281107873766e-08,-1.5272033915850494,5.8526663392655815e-08
FAM110D,3.6180587400201816e-20,-2.3453936728437483,1.0279846715643238e-18
AL391650.1,1.1296949845405961e-09,-1.2704674588255176,6.0758403641707666e-09
CNKSR1,1.1831838837397778e-05,1.1976317184382363,3.5690611698621225e-05
ZPLD2P,6.536295179213892e-09,-1.496494632807868,3.1523703504080854e-08
CRYBG2,1.6851039936222392e-19,2.5933879013817753,4.223800705125658e-18
SFN,0.00010066113955837358,1.1477510553740764,0.00026152294870990646
KDF1,1.1212187973817311e-06,1.6201082293532032,3.939806622338344e-06
TRNP1,1.5725447679818304e-08,-1.086845316327258,7.21384019217599e-08
FO393419.3,3.9612645189333294e-10,-1.115637197624951,2.2748890430641537e-09
SYTL1,3.514265490431481e-05,1.1820306783226027,9.832985459855342e-05
CD164L2,1.6078554329056173e-06,-1.1983714395076772,5.516434157610957e-06
WASF2,3.6483926489829915e-19,-1.0448454609745141,8.636201449223863e-18
IFI6,3.631761418171411e-17,2.3833624538724667,5.998662536058614e-16
SMPDL3B,2.5943368827484605e-05,1.2854309311811205,7.421574414725481e-05
ATP5IF1,4.170525573715527e-19,1.1481984037648285,9.780463503337578e-18
RCC1,1.072862627802017e-14,1.127500253101081,1.1888121464415914e-13
SNORD99,1.7882054831373603e-08,1.1435070243436183,8.126529213864217e-08
TMEM200B,3.779591623128697e-09,-1.2075549035188748,1.8919938294260675e-08
LINC01778,8.563820092586561e-14,-1.4673544674047378,8.312304515290195e-13
NKAIN1,7.49362695937164e-14,3.480902883607591,7.326113253981453e-13
SERINC2,5.3213317118835156e-15,1.728249081124579,6.163306338100192e-14
AC114488.1,6.962225848858448e-20,-2.7311943188465593,1.883481012854749e-18
TINAGL1,1.0977377595841238e-23,-2.4293668044658148,1.0190831839752987e-21
HCRTR1,5.778571826302593e-19,-1.8461853331637919,1.3249603155947539e-17
ADGRB2,5.673183832689149e-09,1.2779387325088951,2.7607113513975182e-08
SPOCD1,7.270432162510512e-17,2.2524776487430254,1.1478130376111843e-15
MARCKSL1,7.88619716153652e-19,1.7034827494640048,1.7642163691437336e-17
ZBTB8B,2.9970981928886767e-09,-1.5387508361396263,1.522222032418744e-08
SYNC,3.447592282802499e-06,-1.0672324224667609,1.1315433099747515e-05
FNDC5,1.4350498122995298e-07,-1.0456758917925963,5.761801822435322e-07
TMEM54,1.4403594316974993e-18,1.361326507947071,3.04081232531277e-17
CSMD2,2.061428736009268e-12,1.6045887079958545,1.6381567760724928e-11
AC114490.1,2.369914747267359e-07,-1.0135655241922419,9.203132486209776e-07
AL590434.1,1.4315415996821166e-15,-2.584573737687645,1.8194029042402845e-14
CLSPN,5.261145406574976e-22,2.7439184850114424,2.72207708459109e-20
RSPO1,7.901959604277498e-08,-2.159850070471191,3.2967483812778804e-07
CDCA8,1.1153274813137032e-23,2.7190497233507616,1.032809609468831e-21
EPHA10,2.3221178026353214e-08,1.664168755185572,1.0403109729951521e-07
MANEAL,4.133164792801657e-09,1.1883363711053212,2.0537207097403396e-08
AL139260.1,1.3178206456062724e-11,-1.4131272384256146,9.447499362425129e-11
BMP8A,2.3100548587078064e-21,2.358926486608043,8.469604813039638e-20
PPIEL,5.712901384861221e-07,-1.1052600003517714,2.093569686020647e-06
AL603839.4,1.544441261077864e-08,1.1810163248790149,7.091921474546925e-08
RIMS3,2.036787214851084e-17,-2.136650377903451,3.5321098431900157e-16
KCNQ4,1.6126129337975667e-12,-1.707794343175304,1.3003215297987874e-11
CTPS1,3.303538103361424e-13,1.009853981410581,2.941945571529119e-12
AC093151.5,1.2653859061408765e-11,-1.2052289778673264,9.099150523861697e-11
FOXO6,1.7740217035446807e-19,1.754059632987711,4.432011741428182e-18
EDN2,1.8563069049926667e-12,2.27710546304084,1.4838701502678825e-11
CLDN19,1.2897239521469758e-19,-4.756399064581572,3.3027048656940204e-18
SLC2A1,8.541569138385305e-12,1.2894874631713744,6.298742008317855e-11
FAM183A,5.4375952205229176e-05,1.1631331699426264,0.00014760857323830632
TMEM125,3.1853252811296145e-13,1.9571865239632622,2.8424779587837653e-12
C1orf210,0.0034040866462222955,1.219893332454049,0.0067606830770125925
TIE1,3.8415173461999435e-17,-1.3144170810621567,6.325809911738116e-16
MPL,6.324881526635112e-22,-1.4843008566297602,3.1939808391970433e-20
CDC20,2.726825610834991e-24,3.4173355372262098,3.43230776255259e-22
ARTN,7.942912192563132e-16,2.5395680493294126,1.0460008914504036e-14
AL357079.2,3.717000881621699e-11,1.131705380751514,2.503159519746448e-10
ATP6V0B,1.0978136427679195e-23,1.428183162493987,1.0190831839752987e-21
CCDC24,7.432518932860402e-13,1.4069841761378967,6.260327140208173e-12
SLC6A9,4.574242047853212e-11,1.222144023434243,3.0441898316709287e-10
AL139220.2,5.545016032222725e-07,1.0956520363766442,2.0351966004884534e-06
KIF2C,5.8103250865527385e-24,3.110553188291223,6.240548950781467e-22
PTCH2,1.6449140203381312e-15,-1.818620139137309,2.0711261172302653e-14
AL358075.2,2.7127490368113064e-16,1.9561866216887958,3.900632384973098e-15
TSPAN1,3.4593816342796376e-10,2.1545711985132723,2.004457824716913e-09
LURAP1,2.1783916302887172e-21,-1.7713693202334415,8.033535015146532e-20
RAD54L,7.191228426424893e-19,2.3354733068869598,1.623126254007249e-17
DMBX1,2.515475758883788e-07,1.5555764044741633,9.73147383983295e-07
CYP4B1,0.010556753834431148,-1.058043852564463,0.018974966219289936
CYP4A11,1.089878194632396e-06,-1.3341675366559698,3.838747023482505e-06
CYP4X1,0.014476803884003173,-1.1754898263496365,0.025275179564962714
TAL1,1.5233137730155148e-22,-2.181661271017634,9.463614577629502e-21
AL135960.1,3.2542575280453583e-19,-2.309085706691892,7.781044799065019e-18
STIL,3.406570821465618e-15,1.69943057676978,4.068699874533201e-14
FOXD2,6.511887470369139e-12,1.5996363391021724,4.875098360402467e-11
TRABD2B,9.265710345360616e-19,-2.5953654418689007,2.033195328042804e-17
AC096541.1,1.673934476352238e-13,-1.7168260703384264,1.5561756101464078e-12
LINC02794,3.266309994588154e-12,-1.2845648373973102,2.5422980833339853e-11
SKINT1L,3.409443803205404e-07,-1.158742960842313,1.2937472564773777e-06
SLC5A9,1.88007501144336e-14,-1.6761892928325794,2.0035442032472093e-13
AL109659.2,7.030481627281271e-12,-1.5231219001846292,5.243648309406279e-11
BEND5,2.5415302138331146e-10,-1.103551133545638,1.504029926854928e-09
CDKN2C,3.8307870565231776e-11,-1.2418965050402004,2.57612267362853e-10
C1orf185,2.3438272820910888e-12,-1.0454269023012386,1.8486071320682613e-11
LINC01562,2.616627774192651e-09,-1.0133820155178757,1.3388565295835242e-08
TTC39A,5.160200343214331e-10,1.6887572241285778,2.917411968934163e-09
ZFYVE9,2.4086609070982474e-14,-1.0646522271985503,2.533341382822522e-13
ORC1,6.61310684053544e-16,1.9932465595178588,8.834737512466993e-15
TUT4,9.999414507603369e-14,-1.2531838531000083,9.61945199545263e-13
ZYG11A,1.7477695525787786e-07,1.4050928958496858,6.927064047129412e-07
AC099677.1,2.2481535906765044e-15,-2.129974000709596,2.7591240794971463e-14
PODN,5.1667853221174676e-11,-1.824706520148176,3.409178175781829e-10
SLC1A7,9.518037179643993e-15,-2.181233653565295,1.06244073133462e-13
DIO1,4.629583801925697e-05,1.9118640216310654,0.0001270954312221904
LDLRAD1,1.2654142556863146e-05,1.4304153341708568,3.801562585854167e-05
SSBP3-AS1,2.5757786236614997e-10,-1.0382100918083736,1.521919494423645e-09
MROH7,2.7093911500189464e-09,-1.3108255650147718,1.3838904978532377e-08
DHCR24-DT,1.2454150098030287e-15,1.5759844674704655,1.595158879989175e-14
AL603840.1,7.811669285639782e-20,-3.2861059887827073,2.0908774736701137e-18
AC119674.1,9.780797994242291e-14,-1.3432294200633432,9.418712006964976e-13
PLPP3,5.613543829351625e-25,-2.1408033918240825,1.095914221612698e-22
C8B,7.171689058937028e-06,-1.0844922210225327,2.2444269659410097e-05
AL136985.3,1.854873048861037e-17,-2.2421310904570593,3.237394555417646e-16
JUN,2.483512375791536e-15,-1.4253244079403409,3.03030115079667e-14
HSD52,7.820999085796705e-22,-2.057193580087951,3.3337385041666395e-20
AC093424.1,2.944590439185682e-12,-1.2655679534966957,2.2994519235818253e-11
HOOK1,0.00048112751232156785,1.1930861331158749,0.0011139640177079753
AC099792.1,5.266039136205022e-10,-1.2659644208096417,2.974585626318106e-09
NFIA-AS2,8.821992462711928e-11,-1.2875233716118188,5.58175981511446e-10
KANK4,8.900154485976838e-09,-1.549425595199624,4.221470895452558e-08
LINC00466,1.2382261191428977e-14,2.126467916895731,1.3589271526055668e-13
FOXD3-AS1,1.6202387325186223e-12,3.1144183335980444,1.3053588971582705e-11
FOXD3,0.00022044441315189394,1.221487833312344,0.0005413767153232286
DLEU2L,5.013487680383386e-07,-1.0978335552761647,1.8510512030302237e-06
PGM1,4.210137817148118e-14,-1.1929592414761316,4.270347072487087e-13
ROR1,3.5783094556612454e-17,-1.8971433535295388,5.916113545459471e-16
CACHD1,1.6701310340514555e-26,-2.6863980468457154,1.4917153918678605e-23
LINC01359,7.897097715408445e-18,-2.0975387150746494,1.4711986171833717e-16
SLC2A3P2,1.0913142603443794e-17,-2.2683411300343175,1.985227487813786e-16
AL357078.2,7.783822301826586e-13,-1.5456486752072034,6.539584868220499e-12
MIR3671,1.1069317255204778e-10,-1.2634236229340554,6.91585816106278e-10
AK4,6.917273221429594e-13,-1.4410989846428475,5.860065488841969e-12
LEPR,1.1883769326256557e-25,-3.491284600003741,3.7822342811986624e-23
PDE4B,3.718864419945327e-07,-1.1388358659119096,1.4015008509684386e-06
GNG12,3.7892682489703526e-11,-1.1195127487964776,2.5495602355925237e-10
GNG12-AS1,2.710031357279693e-24,-2.4833893841231474,3.43230776255259e-22
DIRAS3,4.699315570768434e-09,-1.5855930867279726,2.3159645794051228e-08
WLS,1.6473839399993013e-17,-1.9490243236637887,2.8979572384363003e-16
CTBP2P8,3.4975953110241303e-15,-1.8260713998991043,4.1731749936396975e-14
RPE65,3.033882429959378e-14,-2.370251586507874,3.153272863674025e-13
DEPDC1,1.7026854505445505e-22,3.219678294989812,1.0418014338275333e-20
AL138789.1,1.3281328548282337e-10,1.2547995726465224,8.20716328010516e-10
DEPDC1-AS1,3.6748341442634923e-10,1.434947894662161,2.1210098808265087e-09
AL033530.1,8.403169285961258e-06,1.0032027610422731,2.5997519485092037e-05
PTGER3,1.2032604085221397e-11,-2.14937718645567,8.688710145351291e-11
AL031429.1,1.9604697406915198e-07,-1.4581167287835104,7.717579353388486e-07
AL031429.2,1.0680882514551377e-05,-1.3405174612994863,3.246611110402238e-05
ZRANB2-AS1,1.3168109574302281e-10,-1.1014319181201007,8.141539508280516e-10
MIR186,1.4318520915141618e-07,-1.3115156488468394,5.749572319127159e-07
NEGR1,1.815116985982952e-08,-1.5295650043839064,8.244431908787619e-08
AL513166.1,4.12818915270011e-11,-1.2706076623896148,2.7643393912546673e-10
AL591463.1,5.479363768788874e-13,-1.747903438785874,4.727230600890884e-12
FPGT-TNNI3K,1.0917701840103574e-15,-2.0441863121795336,1.410290039195371e-14
AC093158.1,5.3763599949934615e-09,-1.0680795894221384,2.629105983865492e-08
ERICH3,6.985514814677016e-05,-1.7580677351203242,0.00018644777173437442
ST6GALNAC3,5.836938834710545e-21,-2.068497853156204,1.9511758290011225e-19
AC104458.1,5.7946952100864164e-11,-1.081560739547994,3.7957157797788474e-10
AC093433.2,3.770653550251037e-12,-1.7484975767618907,2.9055896757315924e-11
AK5,8.72235660024686e-15,-3.0981226736375937,9.787706199604283e-14
AC093575.1,7.923916783127614e-19,-2.760385778616161,1.7705629748918895e-17
NEXN,8.48871826054344e-19,-1.8337856430949806,1.8769356058239072e-17
DNAJB4,1.8999034949653443e-20,-1.6009043195926793,5.720623901583281e-19
GIPC2,3.4325992973368634e-26,-3.4113023145851518,2.0635915204339105e-23
AC103591.4,1.1968166860414053e-18,-1.4739881913154766,2.5696278439417337e-17
AC103591.2,1.522534838145249e-23,-2.4955846504303323,1.341034522323562e-21
PTGFR,2.4231782807157533e-21,-3.3902431051095014,8.816085898542598e-20
ADGRL4,9.587314642016872e-18,-1.697672512691863,1.7584017179261357e-16
PSAT1P3,2.5248979502373785e-18,-2.3287680028028914,5.1110627988931303e-17
ADGRL2,4.495370978386781e-22,-1.9179761238469926,2.374584106491227e-20
AL157944.1,1.7849700041714275e-07,-1.2803724380141364,7.066369179260859e-07
TTLL7,1.001402541908281e-05,-1.055962107315528,3.058392054853176e-05
AL359504.1,4.519809957061242e-11,-1.2408254499151212,3.0100805752371636e-10
LINC01555,5.73631334287428e-07,1.0346843465763194,2.1013360242578634e-06
SSX2IP,2.1526461391983535e-13,1.2737904684882064,1.9656557531404634e-12
MCOLN2,8.019095392372879e-06,1.0366053049541897,2.491306856621527e-05
MCOLN3,5.21072335205653e-10,-1.4960018996536206,2.9446573595313197e-09
AC092807.3,2.4303858767515843e-11,-1.0036945311291605,1.6781847711228715e-10
CCN1,1.4159844485668015e-13,-1.693086743032394,1.3287659812938314e-12
COL24A1,1.3291841044177686e-11,1.2597735382951658,9.521755016213083e-11
MIR7856,2.1405612463075833e-08,-1.0838087415268958,9.628458033569288e-08
CLCA2,7.60491222936584e-09,-2.882055951333875,3.638100868700288e-08
CLCA4,7.157494204515432e-22,-4.720665576937599,3.3337385041666395e-20
CLCA4-AS1,7.389059156472886e-13,-1.9034746150426844,6.22864959920441e-12
CLCA4-AS1,7.389059156472886e-13,-1.9034746150426844,6.22864959920441e-12
LINC01140,6.816438838566142e-21,-2.4714247428461924,2.2449200397552524e-19
AL445437.1,6.935070217499259e-17,-2.369281585567423,1.0976132445364268e-15
ELOCP19,4.2914682082721646e-07,-1.0132316276067637,1.6016463039032319e-06
AC104459.1,4.978538559463694e-07,-1.3631629144190205,1.838864534826682e-06
GBP5,0.00043578431888099565,1.124486839898875,0.0010168121792323082
LRRC8C-DT,3.0963138185304554e-22,-2.042756070110679,1.732197777888072e-20
LRRC8C,1.6291321449869946e-16,-1.4306744996122358,2.4339941167352045e-15
HFM1,2.752383711639982e-18,-2.476905099821008,5.527241818380312e-17
CDC7,1.4991306578496658e-14,1.518649525472724,1.6250164434859256e-13
TGFBR3,6.437454781795697e-25,-3.5291763418864903,1.1893276214913669e-22
AC104836.1,2.0606467481047543e-08,-1.1030985385218983,9.288852051620979e-08
DIPK1A,6.640976217943201e-15,-1.2095133836420384,7.591920714711162e-14
AL449283.1,5.29718472736769e-12,-1.4103541733586358,4.014920439550208e-11
AC093577.1,4.057367815703588e-13,-1.60260760972262,3.561268798423122e-12
ARHGAP29-AS1,1.7931932590077664e-09,1.9649279334959036,9.38187615577568e-09
F3,2.0676309544854555e-19,-2.4088989691465468,5.114921931429271e-18
AC092802.1,2.4757659064113803e-18,-1.8731991010360978,5.014286520824846e-17
LINC01761,5.509927567975835e-10,-1.5965275699700996,3.102631530025524e-09
LINC02607,3.1590997755398708e-22,-5.28946168392193,1.7621170088188078e-20
LINC02790,1.4330421953975843e-10,-1.1304069803777308,8.808023386642016e-10
DPYD,4.4864191134763074e-20,-1.827225924653872,1.2586565741022346e-18
DPYD-AS1,1.2078267474430824e-13,-1.4584172398878836,1.1485119315254657e-12
PLPPR5,3.6521551775960525e-10,1.9581873295289527,2.108241505811201e-09
PLPPR4,1.2677664448493528e-14,-1.599497524980512,1.388932205155464e-13
PALMD,3.7544270502477386e-26,-3.124791054011558,2.1544722742588313e-23
HMGB3P10,9.32666293996325e-19,-2.591125098195672,2.04420157516301e-17
AL445928.2,1.7719718803563077e-15,-1.547690188409955,2.214906369525241e-14
CDC14A,3.200376515053548e-08,-1.1523677049391878,1.4089169335589194e-07
GPR88,1.0804639144323583e-15,-2.1795720295728955,1.3966378940345096e-14
AL109741.1,2.471703377020183e-18,-2.208156548678372,5.009642729556297e-17
S1PR1,2.315353400924502e-21,-2.280462714423363,8.48082153835731e-20
COL11A1,2.464121028595292e-21,5.134145245714132,8.945365826476477e-20
AC095032.1,4.6162548698397705e-19,-2.3783786933497293,1.0752523797067126e-17
RNPC3,4.89700552577296e-14,-1.1426782395883777,4.914392879786038e-13
AMY2B,4.657060921784202e-16,-1.7648346360729859,6.407181626709501e-15
VAV3,8.654168594517183e-11,1.4931364287788504,5.483821002990526e-10
NBPF4,0.0051939578097758,1.4202926079691056,0.00994670365007072
SLC25A24P1,0.00011631580360807832,2.291737186524924,0.0002990120644710757
SLC25A24P2,0.0008588720738386993,1.4058486829666073,0.0019012754061936347
NBPF6,0.0007426957007889005,1.4743468187596203,0.0016630517306183525
C1orf194,1.8912256543991292e-07,1.2110343372193526,7.461279211949231e-07
PSRC1,3.617637474808352e-20,1.8567185885697723,1.0279846715643238e-18
SYPL2,7.64762771437957e-11,-1.501982155643061,4.930988288294379e-10
GSTM2,5.914802955133254e-14,-1.898964789762772,5.864325840908819e-13
GSTM5,1.554853997803596e-23,-3.9945501674959827,1.3600124783559675e-21
AL158847.1,2.183491557342822e-07,-1.3600603958301707,8.52552157142289e-07
CSF1,1.1756564379928983e-13,-1.1676378480509246,1.1210601308420773e-12
UBL4B,1.38853159562341e-09,-1.2360982018009112,7.391320541481522e-09
LINC02586,6.160585825549952e-10,-1.217791575575553,3.4388508114499468e-09
KCNC4,8.611037180013651e-19,-1.7492828761701915,1.9015759985624034e-17
SLC16A4,1.0000392127342125e-08,-1.2431382783353158,4.717398254381026e-08
PROK1,8.678113179628512e-12,-2.134902029316831,6.388238261715263e-11
KCNA2,1.3107285145145586e-21,-3.802656741607378,5.133664090871189e-20
KCNA3,1.2439205603751419e-05,-1.2355909360309507,3.740254628743103e-05
CHI3L2,1.3794677259990618e-06,-1.5155190580514581,4.7849456864665225e-06
AL390195.2,1.3454369273248714e-10,-1.032266937282376,8.303255366710473e-10
UBE2FP3,4.441380295513275e-11,-1.011715425872473,2.9604512022574757e-10
AL390195.1,2.8034370318086e-10,-1.1103196093655505,1.6479493115430532e-09
TMIGD3,4.331140181402639e-09,1.1560396330207032,2.1430367159336792e-08
INKA2,7.04462913251685e-21,-1.608156788438425,2.3160441299040207e-19
KCND3,5.935486596244149e-06,-1.4738381457565524,1.8788183814972914e-05
LINC01750,0.00025414511291318927,-1.0534391317557064,0.0006180884868987434
LINC02884,6.220670679038694e-26,-4.749824931587752,2.593959726440278e-23
WNT2B,1.3984944199713917e-12,-1.0596998958190982,1.1378426995058323e-11
PPM1J,4.848659445192242e-12,1.7652404648247657,3.6927031535735157e-11
LINC01356,3.2149182647116477e-09,-1.2352824711378043,1.625875475466537e-08
LRIG2-DT,5.425955526028531e-24,-2.337316683443994,5.937929580791043e-22
DENND2C,2.4349059916913707e-22,-1.8210691715912732,1.4122454751809952e-20
