Gene,p_value,log2FC,adj_p_value
KISS1R,9.352533643536109e-16,3.025955396081011,1.2201786400802154e-14
CBARP,1.1281286304014844e-08,1.1206245722337558,5.286654757216756e-08
FAM174C,3.432134463866174e-17,1.0604362560654224,5.704876901596445e-16
EFNA2,4.6691732447887055e-14,2.4835500281943563,4.701948084901022e-13
AC027307.3,7.374095523533679e-20,-1.6381787908606773,1.9835688484255294e-18
PCSK4,1.0021040966401596e-09,1.450247082994034,5.433599220636994e-09
KLF16,3.5050204236361486e-12,1.0232326304812371,2.714151370369975e-11
ADAT3,2.4423687634154023e-09,1.0564515824615128,1.2544382227501347e-08
AC004490.1,5.1179077614281164e-17,-2.4683208764737605,8.262388685265493e-16
AMH,1.055545163007492e-06,1.6208959250160193,3.728221346987387e-06
LSM7,4.597517391044409e-16,1.0219193133267357,6.338783169581943e-15
LMNB2,1.3002226020241603e-18,1.235205255252195,2.764998923585797e-17
LINC01775,4.2867895650325474e-13,1.3554343661454546,3.7461437006470396e-12
GNG7,1.8121070946289854e-13,-1.5340133755275769,1.6737251856557366e-12
TLE6,1.2298905394710684e-09,1.340208159980369,6.586662088790618e-09
CELF5,1.9035220322018188e-05,-1.1672393987414358,5.575283694038487e-05
MFSD12,3.256976027344287e-18,1.0019678073715497,6.478713763636425e-17
HMG20B,4.006634670028318e-17,1.1058456781088655,6.574838886163454e-16
AC004637.1,2.003579593209127e-16,-2.402078007615625,2.9389455272347978e-15
TJP3,9.122349623297158e-17,2.303171421028864,1.4177261782222264e-15
RAX2,6.62058269775205e-12,-1.209179863658902,4.952556766633639e-11
NMRK2,6.140297944094099e-09,-1.1616324053725724,2.9735026765710257e-08
SIRT6,1.6913815397814877e-18,1.002671140959153,3.533336152106126e-17
FSD1,1.7443472439213356e-05,1.1312194586966888,5.141276849515694e-05
STAP2,2.5592416857451606e-09,1.2421197906020538,1.3112651461838773e-08
PLIN4,1.748510339194427e-23,-6.043162720665441,1.5119424791472543e-21
PLIN5,6.672693177223767e-05,-1.5667736203871634,0.0001785639662221246
AC011498.4,2.5117508954965118e-06,-1.5356331246986534,8.390373382963034e-06
MYDGF,3.907643992825211e-20,1.1046481541565747,1.1061144139331992e-18
UHRF1,9.68783813751635e-25,3.558631708265124,1.6181314920172668e-22
PTPRS,1.0374700709219147e-11,-1.3231787464725269,7.55201642631109e-11
TINCR,4.675319441486774e-11,2.286199561657381,3.106544710997721e-10
SNRPEP4,6.129486873596197e-11,1.0065821160261623,4.002554928458317e-10
PRR22,2.4804629192497405e-07,1.0854996622189859,9.607798384502422e-07
FUT6,5.1489908300716824e-08,-2.2677304115929964,2.204033439174219e-07
CAPS,1.7356604623142808e-15,2.1116641954147672,2.1729563820360988e-14
RFX2,1.9272006180952597e-12,-1.035998660367225,1.5369719142922693e-11
AC011444.3,2.0300705398978044e-15,-1.6618611236562197,2.5134649110195963e-14
ACSBG2,1.2861203144636661e-08,-1.0783373772232614,5.96796383116845e-08
CRB3,1.7002158420946873e-19,2.263084781660825,4.258860767426864e-18
DENND1C,4.519008769325745e-08,1.0370658495714782,1.9508468902068834e-07
AC010503.4,2.9471158532086815e-15,1.9682665983470304,3.555818317850084e-14
C3,3.2273364928331776e-14,-1.8537582399095989,3.3378520570607255e-13
TEX45,6.710432087870673e-11,1.629555616981965,4.360859727110739e-10
CAMSAP3,1.0994151923154046e-10,1.8564878136906309,6.871163530322382e-10
PCP2,7.537202597583537e-07,1.8139801108930182,2.713794193182611e-06
