Removed_Genes_vs_old
ENSG00000101981.12
ENSG00000110245.12
ENSG00000124610.5
ENSG00000134812.8
ENSG00000170925.3
ENSG00000174358.16
ENSG00000177725.5
ENSG00000179073.6
ENSG00000179577.3
ENSG00000180305.5
ENSG00000188280.11
ENSG00000198054.12
ENSG00000198526.7
ENSG00000203864.3
ENSG00000206531.10
ENSG00000207988.1
ENSG00000222635.1
ENSG00000223669.1
ENSG00000224029.1
ENSG00000224294.1
ENSG00000225568.1
ENSG00000225856.2
ENSG00000226043.2
ENSG00000229259.1
ENSG00000231296.1
ENSG00000231512.6
ENSG00000232467.2
ENSG00000233544.1
ENSG00000235578.1
ENSG00000237088.1
ENSG00000238259.1
ENSG00000249036.1
ENSG00000249976.2
ENSG00000250563.1
ENSG00000251299.1
ENSG00000252174.1
ENSG00000253114.2
ENSG00000253153.1
ENSG00000253258.1
ENSG00000254372.1
ENSG00000254846.1
ENSG00000255111.1
ENSG00000255226.2
ENSG00000256115.6
ENSG00000257169.1
ENSG00000259254.1
ENSG00000259306.2
ENSG00000259396.1
ENSG00000261692.1
ENSG00000263343.1
ENSG00000264254.1
ENSG00000274215.1
ENSG00000274594.1
ENSG00000274701.1
ENSG00000274822.1
ENSG00000277349.1
ENSG00000279366.1
ENSG00000280036.1
ENSG00000280296.1
ENSG00000285012.1
ENSG00000286433.1
ENSG00000286671.1
ENSG00000287621.1
ENSG00000288023.1
ENSG00000288074.1
ENSG00000288593.1
