"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","49/2162","150/9373",0.326666666666667,1.41621029910577,2.81364035842092,0.00430689736193545,0.0249800046992256,0.0181343046818335,"1956/7048/1869/2246/4233/8322/5295/2247/5243/581/1870/6258/6934/7481/29119/2252/53358/10000/898/2255/9134/83439/2254/3082/2535/8324/51176/4609/7855/5915/8822/2250/7015/7480/10912/8313/4583/7477/8326/7484/8823/6932/83998/1950/26281/2064/7475/399694/999",49
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","51/2162","158/9373",0.322784810126582,1.39938114029438,2.77213683312079,0.00476188470152012,0.0271661619037541,0.019721351654268,"9088/9232/995/983/5347/9212/10403/891/991/113130/151648/9133/699/1028/890/1869/8555/8318/57082/9700/9319/81620/23594/701/990/4085/157570/7272/1870/5111/993/4173/4998/51529/1032/894/1111/5519/898/9134/8317/1029/4609/90381/10926/1031/1021/10912/8556/4171/2810",51
"hsa04920","Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","26/2162","70/9373",0.371428571428571,1.61026827012026,2.80610899979744,0.00543309335880011,0.0301132048703514,0.0218607657860991,"6517/32/3953/948/3952/5105/9370/5465/10891/2180/8660/6258/7186/2182/5602/10000/4794/51703/8471/6513/7133/3667/9021/81616/5588/57818",26
"hsa00601","Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","13/2162","28/9373",0.464285714285714,2.01283533765032,2.93882986916831,0.00545152846790845,0.0301132048703514,0.0218607657860991,"8708/8703/84002/28/6489/2529/10402/8707/2524/2528/79369/10331/10690",13
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","34/2162","98/9373",0.346938775510204,1.50409673582662,2.74673145480156,0.00574869391402906,0.0309667666783106,0.0224804113817137,"4881/5138/477/3991/9586/111/196883/482/5587/5578/1583/90993/8536/23236/148327/478/114/109/493/3164/23683/51305/3709/112/3708/8913/185/1589/3777/3283/491/810/776/8912",34
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","63/2162","204/9373",0.308823529411765,1.3388542743647,2.67925039006836,0.00578402251175342,0.0309667666783106,0.0224804113817137,"60495/857/858/4660/1956/22808/2719/4233/3479/8322/5295/287/2247/84309/859/5727/117581/5499/5578/7099/2260/7481/5329/2335/1634/7430/9475/3316/10000/406903/5777/3082/2535/3481/8324/4318/1277/3791/5336/22800/4609/7855/7291/3709/7078/3708/6382/3688/3339/1839/7480/5603/51196/2065/7477/3236/8326/10451/3593/7484/1278/2064/7475",63
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","39/2162","116/9373",0.336206896551724,1.4575704169192,2.71517632526854,0.00597426849498054,0.0315006884280792,0.022868013377916,"58494/2770/5010/7122/6387/5295/10411/149461/10398/1003/5175/9071/5578/29119/9075/7430/9475/83700/83692/7414/51208/4318/5336/90952/644672/9080/23562/1366/394/3688/5603/7852/58498/9073/1365/10451/4633/10686/1364",39
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","66/2162","217/9373",0.304147465437788,1.31858195816299,2.59982663794028,0.00705320519135408,0.0366345583073316,0.02659496065868,"154/1956/332/6777/2770/2949/9586/1869/111/196883/6776/5295/2247/990/3838/1576/2100/5465/604/9314/6258/5578/6196/2353/993/90993/2252/153/10000/1139/408/3841/2946/2255/3725/148327/2254/6197/114/4609/109/28514/1978/9641/8822/112/2938/2250/155/55584/688/402569/1543/4257/8823/10683/1950/26281/7364/54490/54577/10720/776/7363/1141/5241",66
"hsa04918","Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","27/2162","75/9373",0.36,1.56072155411656,2.66949645488103,0.00754900027638158,0.0386331190614822,0.0280458214602412,"477/9586/111/2878/196883/486/5172/482/5578/7173/90993/7252/23236/9601/148327/478/114/109/3709/50506/213/112/3708/7253/405753/1081/2877",27
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","18/2162","45/9373",0.4,1.73413506012951,2.7029262147353,0.00814310283211493,0.0410695621097971,0.0298145641450432,"10349/10350/10351/340273/23460/225/23461/5243/9429/10060/1080/1672/19/368/8647/1244/154664/26154",18
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","45/2162","140/9373",0.321428571428571,1.39350138760407,2.56853273607516,0.0083490150988762,0.0415065322058417,0.0301317838154931,"440738/6263/2770/5346/3991/22808/2791/111/196883/4638/1958/10891/51764/4842/9759/54331/5140/59/4208/85366/23236/10000/114/6696/22800/109/2788/340156/3709/10365/55970/112/6261/3708/185/6547/2785/4634/94235/7350/4633/5054/6262/810/999",45
"hsa04913","Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","20/2162","52/9373",0.384615384615385,1.66743755781684,2.64257484333915,0.00900141251955191,0.0430254287780626,0.0312344310548549,"8644/111/3479/3973/196883/654/5321/1583/51478/5743/114/109/112/1081/3294/283748/1543/3283/8681/255189",20
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","25/2162","69/9373",0.36231884057971,1.57077451098687,2.6055565426144,0.00906123981516324,0.0430254287780626,0.0312344310548549,"2904/4128/9586/111/2354/2893/5499/6804/4129/5578/2353/90993/1812/3725/148327/2906/2890/2892/2903/84152/23237/810/776/6571/2902",25
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","31/2162","90/9373",0.344444444444444,1.49328296844486,2.57465734105594,0.00911271161963011,0.0430254287780626,0.0312344310548549,"477/358/111/6343/6344/196883/1581/486/5243/1576/482/9429/8671/6579/1080/123264/361/478/114/109/112/6513/8647/1244/6523/115072896/7364/54490/54577/10720/7363",31
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","41/2162","126/9373",0.325396825396825,1.41070510843869,2.54133071507901,0.00914908542981792,0.0430254287780626,0.0312344310548549,"2770/64805/111/83660/196883/5295/7450/4638/5321/5499/85366/7094/23236/8673/9475/10000/2982/1277/5336/114/109/54518/2534/340156/3709/112/3708/3688/5603/10235/283748/2977/8681/5590/255189/5593/1278/1281/2266/2243/2244",41
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","32/2162","94/9373",0.340425531914894,1.47585962564214,2.53885813945641,0.00984919363048306,0.0457002584454414,0.033176231176364,"2920/4322/6356/4312/2354/2921/7186/2353/5602/5743/27190/3725/53342/1440/3627/5596/4318/3569/6354/9641/6374/6372/9618/2919/5603/225689/4314/4586/6364/727897/338324/3934",32
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","28/2162","80/9373",0.35,1.51736817761332,2.54456163216314,0.0101117786079284,0.0463013020468301,0.0336125604695681,"1956/9542/4233/3479/5295/80310/2247/581/5578/5156/53358/10000/3570/3082/3569/3791/5336/1978/56034/5154/3084/2065/2261/1950/253314/2064/7039/399694",28
"hsa04072","Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","47/2162","149/9373",0.315436241610738,1.36752261453166,2.47607497825062,0.0103970422008661,0.0464191791041269,0.0336981336509088,"1956/2914/554/8613/22808/8611/111/196883/5295/80310/2918/5737/10411/3815/5321/3579/5337/5578/10161/8395/5156/23236/53358/10000/552/2205/5336/114/9170/22800/109/2917/1607/2534/9162/112/1902/56034/5154/185/283748/10555/8681/255189/8612/1950/399694",47
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","69/2162","232/9373",0.297413793103448,1.28938921496698,2.44385658735472,0.0104042987647181,0.0464191791041269,0.0336981336509088,"4629/128239/4660/2934/1956/3679/5063/22808/2246/1073/81553/6387/5295/3680/80310/2247/1072/4638/28984/10398/5499/2260/10298/9459/10163/50649/1730/2335/85366/8395/5156/2252/7430/81624/730/9475/10000/3672/2255/57144/7414/3655/729/2254/9170/22800/89846/340156/55970/8822/1902/3688/2250/56034/5154/5881/7852/58498/10788/1131/2261/10451/4633/8823/3696/1950/26281/1128/2264",69
"hsa05217","Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","23/2162","63/9373",0.365079365079365,1.58274231678487,2.54107935314642,0.0108704241554296,0.0473434662829008,0.0343691225284216,"8322/650/581/5727/6934/7481/8643/83439/2535/8324/64399/51176/7855/2736/2735/7480/10912/8313/7477/8326/7484/6932/7475",23
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","52/2162","168/9373",0.30952380952381,1.34189022510022,2.44836219857448,0.0108835554673335,0.0473434662829008,0.0343691225284216,"3977/85480/3953/1956/2273/6777/2690/3952/3590/6776/5295/1271/316/4352/2670/50615/894/5156/8835/10000/29949/3570/1489/5777/3459/1440/3589/3569/4609/58985/5154/246778/282617/282616/338376/116379/282618/5008/1270/59067/50604/3574/6775/9021/11009/3581/2056/3592/3593/53832/1950/3575",52
"hsa00071","Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","17/2162","43/9373",0.395348837209302,1.71397069896521,2.56933085174044,0.0113914403147243,0.0489410028336303,0.0355288586814013,"124/33/126/127/125/113612/2180/3033/2182/1962/217/130/10449/35/51703/81616/131",17
