"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04081",NA,NA,"hsa04081","Hormone signaling","82/2162","219/9373",0.374429223744292,1.62327711108013,5.11027202553614,9.06116113680562e-07,1.85190937191258e-05,1.34439881808536e-05,"148/4881/3953/154/6777/2690/3952/2770/554/6751/2791/111/5179/3479/3973/7068/9370/196883/6776/5295/4882/10411/4093/2100/1395/4352/5745/51764/8660/3061/4842/54331/5021/7067/53919/1812/1813/7252/153/10267/23236/552/799/7432/3481/150/114/109/2788/8471/7433/55970/112/6567/2740/4883/151/7253/658/51052/185/1081/155/7349/3667/147/2785/2796/268/5744/94235/2984/2852/1733/5593/2056/2642/6752/2847/57817/7434/7200",82
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","123/2162","362/9373",0.339779005524862,1.4730567154415,5.02605503121503,9.57884157885816e-07,1.85190937191258e-05,1.34439881808536e-05,"2277/3381/7148/131873/4915/1956/3679/51378/2690/5649/9586/2791/284/2246/5105/4233/3479/1311/5295/3680/80310/2247/10110/7450/3815/3908/9048/51764/7010/1969/54331/9223/5578/10161/7099/2260/3909/90993/5521/2335/3914/894/2324/5156/2252/4804/5519/10000/3570/6446/2998/3672/3915/898/2255/9134/3655/148327/63923/4908/2254/3082/1440/3481/1943/1435/3569/1277/3791/9170/6696/4609/1288/2788/3164/1978/3910/1944/55970/8822/1902/4909/3688/2250/56034/5154/284217/1945/627/1285/3667/1021/5008/2785/5522/10319/1946/1286/2065/3574/5979/94235/7143/2261/3918/2056/57818/8823/256076/7060/3696/1950/26281/1128/253314/1278/2064/2264/7039/2069/3575/4602/374",123
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","41/2162","89/9373",0.460674157303371,1.99717801868848,5.17542919019696,1.37397283455176e-06,2.51653971802111e-05,1.82688908749264e-05,"3381/7148/131873/158326/948/3679/3161/5649/1311/9899/3680/7450/3908/22987/3909/2335/3914/3672/3915/3655/63923/1277/6696/1288/3910/1758/6382/3688/284217/3339/1285/80144/10319/1286/7143/3918/255743/256076/7060/3696/1278",41
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","74/2162","195/9373",0.37948717948718,1.64520505704595,4.98525386277758,1.71063926465562e-06,2.97651232050078e-05,2.16080749219657e-05,"3014/8357/3015/5295/8329/820/7450/3017/9555/8356/8348/1991/8294/9759/8338/8344/5578/7099/8340/8360/8358/8336/8365/6403/8363/85236/8362/2209/8347/8343/8370/8331/23236/1511/8349/10000/8367/8341/8332/8970/8352/718/5336/8345/8339/8334/4353/1183/8337/1378/317772/440689/3012/8968/834/8342/723790/8364/8335/8366/8355/554313/5603/8346/8969/653604/2214/9734/85235/8353/8350/2266/2243/2244",74
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","86/2162","238/9373",0.361344537815126,1.56655057952876,4.84751462251733,2.73776149075455e-06,4.53686189896469e-05,3.29354765805059e-05,"2277/2904/4915/1956/51378/5063/22808/2791/284/4303/2246/4233/3479/5295/80310/2247/23179/2114/3815/5321/51764/7010/1969/5337/54331/5578/2260/10298/8844/5602/2324/5156/2252/4804/53358/10000/2255/57144/4908/2254/3082/3481/10156/1943/1435/3791/5336/22800/5924/2788/22821/5322/2903/1944/57186/55970/8822/100271927/11145/4909/2250/56034/2113/5154/1945/627/5881/5320/10235/2785/51196/1946/94235/283748/8681/2261/255189/8823/1950/26281/2264/810/7039/54979/399694/2902",86
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","39/2162","86/9373",0.453488372093023,1.96602521351892,4.92772203071198,3.99236607522639e-06,6.3151972462672e-05,4.58453520600159e-05,"1756/3679/8082/137868/3680/859/3908/4842/6934/784/781/29119/6445/1674/8910/3672/83439/3655/51176/6443/6442/6645/785/3688/284217/489/1000/27091/6547/55799/6444/1837/6932/27092/3696/786/6262/776/59285",39
"hsa04970","Organismal Systems","Digestive system","hsa04970","Salivary secretion","41/2162","93/9373",0.440860215053763,1.91127788885242,4.83575796576608,5.47236318660284e-06,8.27992343016429e-05,6.01083370610838e-05,"148/477/154/6263/1469/111/196883/820/1470/486/482/4842/1472/5578/153/23236/280/478/2982/114/109/493/3709/683/112/3708/1473/3778/155/147/4586/2977/1131/5593/4589/1755/491/810/362/952/727897",41
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","69/2162","184/9373",0.375,1.62575161887142,4.69378296617576,6.15418955973067e-06,8.92357486160947e-05,6.4780942734007e-05,"2770/64221/56920/5063/1020/3983/4233/1073/6387/6586/1808/5295/91653/223117/1072/5727/56963/2047/80031/10398/91584/1969/5578/7225/2051/10298/57556/10371/9353/1947/7220/219699/29984/9475/2043/22885/57144/1943/5336/10512/8829/9037/3611/2045/2534/1944/8482/2046/4773/59277/3688/658/1945/1949/5881/84612/9723/7852/2044/1946/27289/1630/151449/5590/285220/3897/90249/2042/137970",69
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","39/2162","88/9373",0.443181818181818,1.92134282230258,4.75464258559129,7.90354823165931e-06,0.000110017391384698,7.98674347620309e-05,"5648/2159/5627/7035/2157/2161/1675/7450/5624/2152/5329/10747/722/730/2/710/3426/729/718/3075/1378/7056/3053/725/5345/715/11326/716/2162/1191/2155/5054/629/721/2266/2151/1380/2243/2244",39
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","63/2162","166/9373",0.379518072289157,1.64533898777348,4.5933454977159,9.88889403933442e-06,0.000132359043295707,9.60864198153952e-05,"148/4881/5138/477/154/2770/1910/9586/111/196883/4882/486/4638/482/8660/10398/3779/5499/5140/7225/90993/1259/3764/4208/85366/153/23236/10335/5997/9475/10000/8654/148327/478/2982/150/114/109/493/10242/8471/340156/3709/112/3708/4773/151/5139/185/489/3778/155/3667/147/6547/5350/2977/5593/491/157855/810/776/2626",63
